Date,Junction,Vehicles
2015-11-01,1,327
2015-11-01,2,133
2015-11-02,1,546
2015-11-02,2,197
2015-11-03,1,544
2015-11-03,2,217
2015-11-04,1,498
2015-11-04,2,199
2015-11-05,1,464
2015-11-05,2,200
2015-11-06,1,446
2015-11-06,2,199
2015-11-07,1,315
2015-11-07,2,157
2015-11-08,1,320
2015-11-08,2,153
2015-11-09,1,441
2015-11-09,2,210
2015-11-10,1,708
2015-11-10,2,202
2015-11-11,1,540
2015-11-11,2,198
2015-11-12,1,617
2015-11-12,2,210
2015-11-13,1,524
2015-11-13,2,202
2015-11-14,1,352
2015-11-14,2,155
2015-11-15,1,347
2015-11-15,2,148
2015-11-16,1,497
2015-11-16,2,186
2015-11-17,1,582
2015-11-17,2,225
2015-11-18,1,656
2015-11-18,2,232
2015-11-19,1,626
2015-11-19,2,235
2015-11-20,1,499
2015-11-20,2,237
2015-11-21,1,395
2015-11-21,2,164
2015-11-22,1,396
2015-11-22,2,171
2015-11-23,1,558
2015-11-23,2,245
2015-11-24,1,550
2015-11-24,2,233
2015-11-25,1,519
2015-11-25,2,213
2015-11-26,1,531
2015-11-26,2,239
2015-11-27,1,517
2015-11-27,2,207
2015-11-28,1,429
2015-11-28,2,204
2015-11-29,1,425
2015-11-29,2,202
2015-11-30,1,567
2015-11-30,2,241
2015-12-01,1,539
2015-12-01,2,232
2015-12-02,1,640
2015-12-02,2,235
2015-12-03,1,556
2015-12-03,2,219
2015-12-04,1,537
2015-12-04,2,211
2015-12-05,1,388
2015-12-05,2,143
2015-12-06,1,357
2015-12-06,2,142
2015-12-07,1,527
2015-12-07,2,206
2015-12-08,1,497
2015-12-08,2,229
2015-12-09,1,547
2015-12-09,2,231
2015-12-10,1,502
2015-12-10,2,230
2015-12-11,1,519
2015-12-11,2,206
2015-12-12,1,367
2015-12-12,2,164
2015-12-13,1,355
2015-12-13,2,167
2015-12-14,1,550
2015-12-14,2,224
2015-12-15,1,595
2015-12-15,2,219
2015-12-16,1,632
2015-12-16,2,199
2015-12-17,1,613
2015-12-17,2,220
2015-12-18,1,693
2015-12-18,2,418
2015-12-19,1,440
2015-12-19,2,152
2015-12-20,1,409
2015-12-20,2,146
2015-12-21,1,574
2015-12-21,2,204
2015-12-22,1,566
2015-12-22,2,215
2015-12-23,1,533
2015-12-23,2,211
2015-12-24,1,474
2015-12-24,2,173
2015-12-25,1,327
2015-12-25,2,118
2015-12-26,1,344
2015-12-26,2,142
2015-12-27,1,363
2015-12-27,2,149
2015-12-28,1,504
2015-12-28,2,218
2015-12-29,1,538
2015-12-29,2,205
2015-12-30,1,583
2015-12-30,2,204
2015-12-31,1,418
2015-12-31,2,180
2016-01-01,1,301
2016-01-01,2,145
2016-01-02,1,369
2016-01-02,2,134
2016-01-03,1,405
2016-01-03,2,139
2016-01-04,1,653
2016-01-04,2,200
2016-01-05,1,602
2016-01-05,2,229
2016-01-06,1,667
2016-01-06,2,197
2016-01-07,1,581
2016-01-07,2,222
2016-01-08,1,663
2016-01-08,2,216
2016-01-09,1,435
2016-01-09,2,146
2016-01-10,1,411
2016-01-10,2,130
2016-01-11,1,619
2016-01-11,2,204
2016-01-12,1,622
2016-01-12,2,196
2016-01-13,1,635
2016-01-13,2,191
2016-01-14,1,526
2016-01-14,2,213
2016-01-15,1,663
2016-01-15,2,187
2016-01-16,1,481
2016-01-16,2,145
2016-01-17,1,487
2016-01-17,2,134
2016-01-18,1,751
2016-01-18,2,216
2016-01-19,1,729
2016-01-19,2,233
2016-01-20,1,710
2016-01-20,2,230
2016-01-21,1,647
2016-01-21,2,236
2016-01-22,1,664
2016-01-22,2,213
2016-01-23,1,500
2016-01-23,2,156
2016-01-24,1,449
2016-01-24,2,159
2016-01-25,1,616
2016-01-25,2,242
2016-01-26,1,601
2016-01-26,2,211
2016-01-27,1,762
2016-01-27,2,241
2016-01-28,1,710
2016-01-28,2,248
2016-01-29,1,678
2016-01-29,2,222
2016-01-30,1,523
2016-01-30,2,190
2016-01-31,1,480
2016-01-31,2,170
2016-02-01,1,717
2016-02-01,2,271
2016-02-02,1,729
2016-02-02,2,266
2016-02-03,1,758
2016-02-03,2,308
2016-02-04,1,697
2016-02-04,2,269
2016-02-05,1,672
2016-02-05,2,263
2016-02-06,1,565
2016-02-06,2,205
2016-02-07,1,544
2016-02-07,2,181
2016-02-08,1,721
2016-02-08,2,235
2016-02-09,1,802
2016-02-09,2,253
2016-02-10,1,758
2016-02-10,2,267
2016-02-11,1,768
2016-02-11,2,266
2016-02-12,1,722
2016-02-12,2,266
2016-02-13,1,528
2016-02-13,2,191
2016-02-14,1,462
2016-02-14,2,178
2016-02-15,1,780
2016-02-15,2,249
2016-02-16,1,728
2016-02-16,2,298
2016-02-17,1,854
2016-02-17,2,260
2016-02-18,1,803
2016-02-18,2,277
2016-02-19,1,773
2016-02-19,2,266
2016-02-20,1,622
2016-02-20,2,208
2016-02-21,1,575
2016-02-21,2,176
2016-02-22,1,783
2016-02-22,2,257
2016-02-23,1,867
2016-02-23,2,303
2016-02-24,1,892
2016-02-24,2,280
2016-02-25,1,773
2016-02-25,2,262
2016-02-26,1,787
2016-02-26,2,266
2016-02-27,1,568
2016-02-27,2,172
2016-02-28,1,533
2016-02-28,2,178
2016-02-29,1,1032
2016-02-29,2,282
2016-03-01,1,909
2016-03-01,2,301
2016-03-02,1,854
2016-03-02,2,296
2016-03-03,1,773
2016-03-03,2,289
2016-03-04,1,750
2016-03-04,2,243
2016-03-05,1,618
2016-03-05,2,198
2016-03-06,1,549
2016-03-06,2,189
2016-03-07,1,688
2016-03-07,2,262
2016-03-08,1,785
2016-03-08,2,283
2016-03-09,1,801
2016-03-09,2,286
2016-03-10,1,743
2016-03-10,2,276
2016-03-11,1,708
2016-03-11,2,260
2016-03-12,1,588
2016-03-12,2,190
2016-03-13,1,554
2016-03-13,2,182
2016-03-14,1,816
2016-03-14,2,272
2016-03-15,1,796
2016-03-15,2,280
2016-03-16,1,851
2016-03-16,2,279
2016-03-17,1,808
2016-03-17,2,277
2016-03-18,1,725
2016-03-18,2,282
2016-03-19,1,545
2016-03-19,2,194
2016-03-20,1,531
2016-03-20,2,198
2016-03-21,1,799
2016-03-21,2,278
2016-03-22,1,786
2016-03-22,2,268
2016-03-23,1,776
2016-03-23,2,283
2016-03-24,1,666
2016-03-24,2,239
2016-03-25,1,605
2016-03-25,2,212
2016-03-26,1,494
2016-03-26,2,182
2016-03-27,1,475
2016-03-27,2,184
2016-03-28,1,724
2016-03-28,2,235
2016-03-29,1,819
2016-03-29,2,294
2016-03-30,1,880
2016-03-30,2,291
2016-03-31,1,799
2016-03-31,2,270
2016-04-01,1,783
2016-04-01,2,256
2016-04-02,1,569
2016-04-02,2,195
2016-04-03,1,564
2016-04-03,2,190
2016-04-04,1,834
2016-04-04,2,282
2016-04-05,1,834
2016-04-05,2,290
2016-04-06,1,796
2016-04-06,2,302
2016-04-07,1,839
2016-04-07,2,304
2016-04-08,1,681
2016-04-08,2,269
2016-04-09,1,573
2016-04-09,2,187
2016-04-10,1,540
2016-04-10,2,212
2016-04-11,1,765
2016-04-11,2,295
2016-04-12,1,897
2016-04-12,2,333
2016-04-13,1,827
2016-04-13,2,320
2016-04-14,1,787
2016-04-14,2,286
2016-04-15,1,768
2016-04-15,2,300
2016-04-16,1,554
2016-04-16,2,198
2016-04-17,1,562
2016-04-17,2,183
2016-04-18,1,866
2016-04-18,2,294
2016-04-19,1,884
2016-04-19,2,329
2016-04-20,1,798
2016-04-20,2,313
2016-04-21,1,792
2016-04-21,2,307
2016-04-22,1,744
2016-04-22,2,290
2016-04-23,1,600
2016-04-23,2,224
2016-04-24,1,596
2016-04-24,2,222
2016-04-25,1,950
2016-04-25,2,290
2016-04-26,1,842
2016-04-26,2,318
2016-04-27,1,801
2016-04-27,2,298
2016-04-28,1,857
2016-04-28,2,296
2016-04-29,1,791
2016-04-29,2,286
2016-04-30,1,547
2016-04-30,2,219
2016-05-01,1,564
2016-05-01,2,217
2016-05-02,1,770
2016-05-02,2,318
2016-05-03,1,902
2016-05-03,2,330
2016-05-04,1,829
2016-05-04,2,315
2016-05-05,1,830
2016-05-05,2,284
2016-05-06,1,978
2016-05-06,2,281
2016-05-07,1,612
2016-05-07,2,205
2016-05-08,1,690
2016-05-08,2,220
2016-05-09,1,970
2016-05-09,2,303
2016-05-10,1,985
2016-05-10,2,322
2016-05-11,1,941
2016-05-11,2,323
2016-05-12,1,959
2016-05-12,2,345
2016-05-13,1,876
2016-05-13,2,344
2016-05-14,1,629
2016-05-14,2,229
2016-05-15,1,612
2016-05-15,2,206
2016-05-16,1,938
2016-05-16,2,316
2016-05-17,1,946
2016-05-17,2,351
2016-05-18,1,877
2016-05-18,2,332
2016-05-19,1,1003
2016-05-19,2,322
2016-05-20,1,929
2016-05-20,2,312
2016-05-21,1,638
2016-05-21,2,198
2016-05-22,1,585
2016-05-22,2,193
2016-05-23,1,963
2016-05-23,2,296
2016-05-24,1,980
2016-05-24,2,296
2016-05-25,1,934
2016-05-25,2,324
2016-05-26,1,926
2016-05-26,2,321
2016-05-27,1,845
2016-05-27,2,303
2016-05-28,1,696
2016-05-28,2,200
2016-05-29,1,644
2016-05-29,2,194
2016-05-30,1,928
2016-05-30,2,280
2016-05-31,1,921
2016-05-31,2,303
2016-06-01,1,879
2016-06-01,2,327
2016-06-02,1,935
2016-06-02,2,330
2016-06-03,1,885
2016-06-03,2,306
2016-06-04,1,613
2016-06-04,2,209
2016-06-05,1,576
2016-06-05,2,203
2016-06-06,1,971
2016-06-06,2,294
2016-06-07,1,976
2016-06-07,2,340
2016-06-08,1,1019
2016-06-08,2,322
2016-06-09,1,928
2016-06-09,2,328
2016-06-10,1,851
2016-06-10,2,282
2016-06-11,1,596
2016-06-11,2,213
2016-06-12,1,579
2016-06-12,2,196
2016-06-13,1,938
2016-06-13,2,309
2016-06-14,1,947
2016-06-14,2,333
2016-06-15,1,914
2016-06-15,2,343
2016-06-16,1,1013
2016-06-16,2,338
2016-06-17,1,933
2016-06-17,2,325
2016-06-18,1,719
2016-06-18,2,198
2016-06-19,1,613
2016-06-19,2,202
2016-06-20,1,1044
2016-06-20,2,295
2016-06-21,1,1089
2016-06-21,2,327
2016-06-22,1,1029
2016-06-22,2,312
2016-06-23,1,1015
2016-06-23,2,311
2016-06-24,1,892
2016-06-24,2,298
2016-06-25,1,660
2016-06-25,2,195
2016-06-26,1,647
2016-06-26,2,177
2016-06-27,1,986
2016-06-27,2,280
2016-06-28,1,1035
2016-06-28,2,331
2016-06-29,1,1122
2016-06-29,2,339
2016-06-30,1,1057
2016-06-30,2,305
2016-07-01,1,989
2016-07-01,2,302
2016-07-02,1,648
2016-07-02,2,199
2016-07-03,1,603
2016-07-03,2,176
2016-07-04,1,933
2016-07-04,2,313
2016-07-05,1,973
2016-07-05,2,314
2016-07-06,1,916
2016-07-06,2,306
2016-07-07,1,948
2016-07-07,2,290
2016-07-08,1,918
2016-07-08,2,295
2016-07-09,1,695
2016-07-09,2,249
2016-07-10,1,622
2016-07-10,2,211
2016-07-11,1,1105
2016-07-11,2,296
2016-07-12,1,1063
2016-07-12,2,320
2016-07-13,1,1025
2016-07-13,2,323
2016-07-14,1,1082
2016-07-14,2,299
2016-07-15,1,1028
2016-07-15,2,314
2016-07-16,1,690
2016-07-16,2,213
2016-07-17,1,658
2016-07-17,2,198
2016-07-18,1,1055
2016-07-18,2,312
2016-07-19,1,1128
2016-07-19,2,316
2016-07-20,1,1147
2016-07-20,2,343
2016-07-21,1,1183
2016-07-21,2,330
2016-07-22,1,1068
2016-07-22,2,320
2016-07-23,1,786
2016-07-23,2,199
2016-07-24,1,733
2016-07-24,2,206
2016-07-25,1,1159
2016-07-25,2,315
2016-07-26,1,1166
2016-07-26,2,310
2016-07-27,1,1105
2016-07-27,2,315
2016-07-28,1,1173
2016-07-28,2,326
2016-07-29,1,1029
2016-07-29,2,288
2016-07-30,1,770
2016-07-30,2,203
2016-07-31,1,713
2016-07-31,2,181
2016-08-01,1,1115
2016-08-01,2,301
2016-08-02,1,1173
2016-08-02,2,340
2016-08-03,1,1210
2016-08-03,2,343
2016-08-04,1,1127
2016-08-04,2,85
2016-08-05,1,1007
2016-08-05,2,68
2016-08-06,1,717
2016-08-06,2,99
2016-08-07,1,653
2016-08-07,2,186
2016-08-08,1,1160
2016-08-08,2,303
2016-08-09,1,1135
2016-08-09,2,307
2016-08-10,1,1094
2016-08-10,2,318
2016-08-11,1,1093
2016-08-11,2,309
2016-08-12,1,1053
2016-08-12,2,297
2016-08-13,1,675
2016-08-13,2,203
2016-08-14,1,670
2016-08-14,2,197
2016-08-15,1,851
2016-08-15,2,252
2016-08-16,1,1107
2016-08-16,2,318
2016-08-17,1,1098
2016-08-17,2,310
2016-08-18,1,1079
2016-08-18,2,314
2016-08-19,1,992
2016-08-19,2,308
2016-08-20,1,731
2016-08-20,2,201
2016-08-21,1,726
2016-08-21,2,200
2016-08-22,1,1144
2016-08-22,2,301
2016-08-23,1,1181
2016-08-23,2,346
2016-08-24,1,1189
2016-08-24,2,327
2016-08-25,1,1031
2016-08-25,2,340
2016-08-26,1,1090
2016-08-26,2,309
2016-08-27,1,769
2016-08-27,2,209
2016-08-28,1,762
2016-08-28,2,213
2016-08-29,1,1188
2016-08-29,2,295
2016-08-30,1,1152
2016-08-30,2,327
2016-08-31,1,1213
2016-08-31,2,311
2016-09-01,1,1172
2016-09-01,2,317
2016-09-02,1,1120
2016-09-02,2,298
2016-09-03,1,758
2016-09-03,2,202
2016-09-04,1,715
2016-09-04,2,202
2016-09-05,1,908
2016-09-05,2,240
2016-09-06,1,1195
2016-09-06,2,312
2016-09-07,1,1162
2016-09-07,2,330
2016-09-08,1,1129
2016-09-08,2,355
2016-09-09,1,1144
2016-09-09,2,321
2016-09-10,1,801
2016-09-10,2,213
2016-09-11,1,824
2016-09-11,2,216
2016-09-12,1,1198
2016-09-12,2,329
2016-09-13,1,1163
2016-09-13,2,348
2016-09-14,1,1141
2016-09-14,2,335
2016-09-15,1,1123
2016-09-15,2,314
2016-09-16,1,1310
2016-09-16,2,307
2016-09-17,1,1067
2016-09-17,2,212
2016-09-18,1,899
2016-09-18,2,233
2016-09-19,1,1353
2016-09-19,2,332
2016-09-20,1,1370
2016-09-20,2,353
2016-09-21,1,1467
2016-09-21,2,362
2016-09-22,1,1344
2016-09-22,2,366
2016-09-23,1,1353
2016-09-23,2,334
2016-09-24,1,996
2016-09-24,2,223
2016-09-25,1,893
2016-09-25,2,243
2016-09-26,1,1345
2016-09-26,2,348
2016-09-27,1,1315
2016-09-27,2,363
2016-09-28,1,1400
2016-09-28,2,361
2016-09-29,1,1305
2016-09-29,2,365
2016-09-30,1,1404
2016-09-30,2,331
2016-10-01,1,928
2016-10-01,2,233
2016-10-02,1,881
2016-10-02,2,251
2016-10-03,1,1286
2016-10-03,2,357
2016-10-04,1,1422
2016-10-04,2,388
2016-10-05,1,1317
2016-10-05,2,374
2016-10-06,1,1288
2016-10-06,2,378
2016-10-07,1,1171
2016-10-07,2,338
2016-10-08,1,832
2016-10-08,2,229
2016-10-09,1,853
2016-10-09,2,231
2016-10-10,1,1236
2016-10-10,2,335
2016-10-11,1,1154
2016-10-11,2,350
2016-10-12,1,1282
2016-10-12,2,380
2016-10-13,1,1357
2016-10-13,2,394
2016-10-14,1,1262
2016-10-14,2,369
2016-10-15,1,899
2016-10-15,2,259
2016-10-16,1,889
2016-10-16,2,264
2016-10-17,1,1394
2016-10-17,2,375
2016-10-18,1,1399
2016-10-18,2,409
2016-10-19,1,1582
2016-10-19,2,420
2016-10-20,1,1460
2016-10-20,2,396
2016-10-21,1,1333
2016-10-21,2,354
2016-10-22,1,990
2016-10-22,2,273
2016-10-23,1,904
2016-10-23,2,263
2016-10-24,1,1384
2016-10-24,2,375
2016-10-25,1,1389
2016-10-25,2,431
2016-10-26,1,1533
2016-10-26,2,335
2016-10-27,1,1452
2016-10-27,2,425
2016-10-28,1,1377
2016-10-28,2,365
2016-10-29,1,932
2016-10-29,2,237
2016-10-30,1,815
2016-10-30,2,237
2016-10-31,1,1223
2016-10-31,2,358
2016-11-01,1,1306
2016-11-01,2,362
2016-11-02,1,1370
2016-11-02,2,383
2016-11-03,1,1415
2016-11-03,2,396
2016-11-04,1,1293
2016-11-04,2,351
2016-11-05,1,965
2016-11-05,2,236
2016-11-06,1,971
2016-11-06,2,253
2016-11-07,1,1448
2016-11-07,2,393
2016-11-08,1,1451
2016-11-08,2,404
2016-11-09,1,1217
2016-11-09,2,353
2016-11-10,1,1339
2016-11-10,2,385
2016-11-11,1,1235
2016-11-11,2,331
2016-11-12,1,885
2016-11-12,2,241
2016-11-13,1,870
2016-11-13,2,256
2016-11-14,1,1383
2016-11-14,2,378
2016-11-15,1,1432
2016-11-15,2,407
2016-11-16,1,1457
2016-11-16,2,409
2016-11-17,1,1410
2016-11-17,2,389
2016-11-18,1,1368
2016-11-18,2,366
2016-11-19,1,1000
2016-11-19,2,250
2016-11-20,1,989
2016-11-20,2,259
2016-11-21,1,1426
2016-11-21,2,383
2016-11-22,1,1434
2016-11-22,2,423
2016-11-23,1,1385
2016-11-23,2,399
2016-11-24,1,1407
2016-11-24,2,345
2016-11-25,1,1227
2016-11-25,2,318
2016-11-26,1,969
2016-11-26,2,253
2016-11-27,1,970
2016-11-27,2,286
2016-11-28,1,1465
2016-11-28,2,408
2016-11-29,1,1554
2016-11-29,2,419
2016-11-30,1,1581
2016-11-30,2,416
2016-12-01,1,1572
2016-12-01,2,414
2016-12-02,1,1636
2016-12-02,2,391
2016-12-03,1,1239
2016-12-03,2,276
2016-12-04,1,1042
2016-12-04,2,273
2016-12-05,1,1552
2016-12-05,2,416
2016-12-06,1,1534
2016-12-06,2,435
2016-12-07,1,1620
2016-12-07,2,424
2016-12-08,1,1537
2016-12-08,2,405
2016-12-09,1,1519
2016-12-09,2,351
2016-12-10,1,1059
2016-12-10,2,277
2016-12-11,1,964
2016-12-11,2,277
2016-12-12,1,1401
2016-12-12,2,366
2016-12-13,1,1525
2016-12-13,2,396
2016-12-14,1,1512
2016-12-14,2,389
2016-12-15,1,1509
2016-12-15,2,368
2016-12-16,1,1353
2016-12-16,2,347
2016-12-17,1,980
2016-12-17,2,268
2016-12-18,1,897
2016-12-18,2,227
2016-12-19,1,1453
2016-12-19,2,337
2016-12-20,1,1418
2016-12-20,2,368
2016-12-21,1,1495
2016-12-21,2,357
2016-12-22,1,1312
2016-12-22,2,330
2016-12-23,1,1123
2016-12-23,2,264
2016-12-24,1,825
2016-12-24,2,207
2016-12-25,1,710
2016-12-25,2,171
2016-12-26,1,1107
2016-12-26,2,239
2016-12-27,1,1175
2016-12-27,2,297
2016-12-28,1,1209
2016-12-28,2,302
2016-12-29,1,1232
2016-12-29,2,319
2016-12-30,1,1134
2016-12-30,2,267
2016-12-31,1,768
2016-12-31,2,213
2017-01-01,1,612
2017-01-01,2,166
2017-01-02,1,1103
2017-01-02,2,277
2017-01-03,1,1424
2017-01-03,2,345
2017-01-04,1,1457
2017-01-04,2,367
2017-01-05,1,1484
2017-01-05,2,360
2017-01-06,1,1327
2017-01-06,2,361
2017-01-07,1,979
2017-01-07,2,279
2017-01-08,1,1231
2017-01-08,2,295
2017-01-09,1,1778
2017-01-09,2,370
2017-01-10,1,1640
2017-01-10,2,383
2017-01-11,1,1529
2017-01-11,2,369
2017-01-12,1,1531
2017-01-12,2,377
2017-01-13,1,1404
2017-01-13,2,359
2017-01-14,1,1029
2017-01-14,2,235
2017-01-15,1,1027
2017-01-15,2,229
2017-01-16,1,1649
2017-01-16,2,366
2017-01-17,1,1677
2017-01-17,2,419
2017-01-18,1,1666
2017-01-18,2,427
2017-01-19,1,1644
2017-01-19,2,404
2017-01-20,1,1515
2017-01-20,2,385
2017-01-21,1,1201
2017-01-21,2,245
2017-01-22,1,1105
2017-01-22,2,250
2017-01-23,1,1675
2017-01-23,2,400
2017-01-24,1,1645
2017-01-24,2,436
2017-01-25,1,1538
2017-01-25,2,414
2017-01-26,1,1374
2017-01-26,2,354
2017-01-27,1,1445
2017-01-27,2,377
2017-01-28,1,1127
2017-01-28,2,259
2017-01-29,1,1064
2017-01-29,2,269
2017-01-30,1,1785
2017-01-30,2,405
2017-01-31,1,1774
2017-01-31,2,441
2017-02-01,1,1615
2017-02-01,2,436
2017-02-02,1,1790
2017-02-02,2,436
2017-02-03,1,1572
2017-02-03,2,410
2017-02-04,1,1168
2017-02-04,2,298
2017-02-05,1,1068
2017-02-05,2,277
2017-02-06,1,1679
2017-02-06,2,416
2017-02-07,1,1661
2017-02-07,2,476
2017-02-08,1,1605
2017-02-08,2,484
2017-02-09,1,1708
2017-02-09,2,482
2017-02-10,1,1594
2017-02-10,2,430
2017-02-11,1,1071
2017-02-11,2,326
2017-02-12,1,1022
2017-02-12,2,327
2017-02-13,1,2002
2017-02-13,2,474
2017-02-14,1,1534
2017-02-14,2,493
2017-02-15,1,1595
2017-02-15,2,491
2017-02-16,1,1561
2017-02-16,2,512
2017-02-17,1,1481
2017-02-17,2,479
2017-02-18,1,1226
2017-02-18,2,365
2017-02-19,1,1107
2017-02-19,2,330
2017-02-20,1,1714
2017-02-20,2,609
2017-02-21,1,1733
2017-02-21,2,591
2017-02-22,1,1662
2017-02-22,2,578
2017-02-23,1,1921
2017-02-23,2,585
2017-02-24,1,1534
2017-02-24,2,540
2017-02-25,1,1142
2017-02-25,2,375
2017-02-26,1,1102
2017-02-26,2,357
2017-02-27,1,1541
2017-02-27,2,553
2017-02-28,1,1708
2017-02-28,2,598
2017-03-01,1,1670
2017-03-01,2,587
2017-03-02,1,1600
2017-03-02,2,552
2017-03-03,1,1580
2017-03-03,2,518
2017-03-04,1,1108
2017-03-04,2,342
2017-03-05,1,1090
2017-03-05,2,362
2017-03-06,1,1557
2017-03-06,2,544
2017-03-07,1,1609
2017-03-07,2,577
2017-03-08,1,1577
2017-03-08,2,557
2017-03-09,1,1695
2017-03-09,2,562
2017-03-10,1,1534
2017-03-10,2,547
2017-03-11,1,1084
2017-03-11,2,348
2017-03-12,1,1049
2017-03-12,2,344
2017-03-13,1,1432
2017-03-13,2,516
2017-03-14,1,1735
2017-03-14,2,573
2017-03-15,1,1677
2017-03-15,2,590
2017-03-16,1,1658
2017-03-16,2,582
2017-03-17,1,1623
2017-03-17,2,550
2017-03-18,1,1217
2017-03-18,2,364
2017-03-19,1,1165
2017-03-19,2,400
2017-03-20,1,1793
2017-03-20,2,592
2017-03-21,1,1807
2017-03-21,2,635
2017-03-22,1,1813
2017-03-22,2,641
2017-03-23,1,1721
2017-03-23,2,622
2017-03-24,1,1662
2017-03-24,2,562
2017-03-25,1,1270
2017-03-25,2,371
2017-03-26,1,1122
2017-03-26,2,356
2017-03-27,1,1700
2017-03-27,2,562
2017-03-28,1,1716
2017-03-28,2,620
2017-03-29,1,1605
2017-03-29,2,613
2017-03-30,1,1723
2017-03-30,2,602
2017-03-31,1,1519
2017-03-31,2,567
2017-04-01,1,1186
2017-04-01,2,436
2017-04-02,1,1210
2017-04-02,2,405
2017-04-03,1,1689
2017-04-03,2,597
2017-04-04,1,1781
2017-04-04,2,613
2017-04-05,1,1808
2017-04-05,2,607
2017-04-06,1,1805
2017-04-06,2,616
2017-04-07,1,1569
2017-04-07,2,553
2017-04-08,1,1253
2017-04-08,2,382
2017-04-09,1,1271
2017-04-09,2,392
2017-04-10,1,1810
2017-04-10,2,613
2017-04-11,1,1812
2017-04-11,2,639
2017-04-12,1,1705
2017-04-12,2,617
2017-04-13,1,1611
2017-04-13,2,592
2017-04-14,1,1346
2017-04-14,2,462
2017-04-15,1,1076
2017-04-15,2,354
2017-04-16,1,1053
2017-04-16,2,364
2017-04-17,1,1578
2017-04-17,2,522
2017-04-18,1,1700
2017-04-18,2,646
2017-04-19,1,1771
2017-04-19,2,645
2017-04-20,1,1701
2017-04-20,2,635
2017-04-21,1,1607
2017-04-21,2,590
2017-04-22,1,1163
2017-04-22,2,399
2017-04-23,1,1210
2017-04-23,2,415
2017-04-24,1,1740
2017-04-24,2,644
2017-04-25,1,1767
2017-04-25,2,717
2017-04-26,1,1731
2017-04-26,2,684
2017-04-27,1,1693
2017-04-27,2,664
2017-04-28,1,1463
2017-04-28,2,572
2017-04-29,1,1095
2017-04-29,2,399
2017-04-30,1,1041
2017-04-30,2,385
2017-05-01,1,1347
2017-05-01,2,537
2017-05-02,1,1764
2017-05-02,2,641
2017-05-03,1,1747
2017-05-03,2,671
2017-05-04,1,1767
2017-05-04,2,671
2017-05-05,1,1637
2017-05-05,2,582
2017-05-06,1,1098
2017-05-06,2,417
2017-05-07,1,1066
2017-05-07,2,404
2017-05-08,1,1623
2017-05-08,2,643
2017-05-09,1,1809
2017-05-09,2,661
2017-05-10,1,1796
2017-05-10,2,693
2017-05-11,1,1887
2017-05-11,2,643
2017-05-12,1,1833
2017-05-12,2,605
2017-05-13,1,1197
2017-05-13,2,443
2017-05-14,1,1133
2017-05-14,2,391
2017-05-15,1,1827
2017-05-15,2,626
2017-05-16,1,1809
2017-05-16,2,681
2017-05-17,1,1796
2017-05-17,2,686
2017-05-18,1,1900
2017-05-18,2,705
2017-05-19,1,1724
2017-05-19,2,661
2017-05-20,1,1183
2017-05-20,2,481
2017-05-21,1,1153
2017-05-21,2,431
2017-05-22,1,2108
2017-05-22,2,685
2017-05-23,1,2044
2017-05-23,2,720
2017-05-24,1,1964
2017-05-24,2,732
2017-05-25,1,2026
2017-05-25,2,668
2017-05-26,1,1827
2017-05-26,2,621
2017-05-27,1,1326
2017-05-27,2,409
2017-05-28,1,1198
2017-05-28,2,402
2017-05-29,1,1930
2017-05-29,2,619
2017-05-30,1,1914
2017-05-30,2,702
2017-05-31,1,1894
2017-05-31,2,712
2017-06-01,1,2004
2017-06-01,2,694
2017-06-02,1,1828
2017-06-02,2,617
2017-06-03,1,1282
2017-06-03,2,406
2017-06-04,1,1124
2017-06-04,2,369
2017-06-05,1,1774
2017-06-05,2,620
2017-06-06,1,2176
2017-06-06,2,727
2017-06-07,1,2067
2017-06-07,2,743
2017-06-08,1,2003
2017-06-08,2,723
2017-06-09,1,1833
2017-06-09,2,662
2017-06-10,1,1223
2017-06-10,2,410
2017-06-11,1,1204
2017-06-11,2,387
2017-06-12,1,1992
2017-06-12,2,690
2017-06-13,1,2075
2017-06-13,2,787
2017-06-14,1,1998
2017-06-14,2,759
2017-06-15,1,1957
2017-06-15,2,711
2017-06-16,1,1850
2017-06-16,2,682
2017-06-17,1,1215
2017-06-17,2,414
2017-06-18,1,1076
2017-06-18,2,373
2017-06-19,1,1898
2017-06-19,2,688
2017-06-20,1,2044
2017-06-20,2,762
2017-06-21,1,1996
2017-06-21,2,729
2017-06-22,1,2029
2017-06-22,2,734
2017-06-23,1,1769
2017-06-23,2,658
2017-06-24,1,1242
2017-06-24,2,396
2017-06-25,1,1184
2017-06-25,2,367
2017-06-26,1,1774
2017-06-26,2,587
2017-06-27,1,2187
2017-06-27,2,730
2017-06-28,1,2080
2017-06-28,2,720
2017-06-29,1,2086
2017-06-29,2,696
2017-06-30,1,1883
2017-06-30,2,655
